tipo_cliente,total_servicos_cliente,valor_total_gasto,dias_desde_ultimo_servico,servicos_unicos_utilizados,idade_veiculo,mes_da_oferta,servico_ofertado,aceitou,count_LICENCIAMENTO,count_TRANSFERÊNCIA,count_VISTORIA,count_REVISTORIA,count_EMISSÃO APTVE,count_EMISSÃO CRLV,count_PLACA CARRO,count_PLACA MOTO,count_PLACA REBOQUE,count_DESBLOQUEIOS,count_CONSULTA TOTAL,count_DECLARAÇÕES
Cliente Final,1,60,388,1,10,1,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,52,1,1,1,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,372,1,24,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,465,1,20,1,DECLARAÇÕES,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,99,1,8,1,INMETRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,169,1,22,1,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1724,0,19,1,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,66,1,15,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,100,512,1,22,1,LIBERAÇÃO DO PÁTIO,1,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,86,1,10,1,VISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,103,1,6,1,VISTORIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,110,1,7,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,393,1,20,1,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,17,1,10,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,8,1,18,1,VISTORIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1741,0,17,1,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1019,0,15,1,PLACA MOTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,37,1,9,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,706,0,8,1,TRANSFERÊNCIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,160,11,2,24,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,35,1,4,1,DECLARAÇÕES,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,73,1,13,1,TRANSFERÊNCIA,0,4,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,10,1,21,1,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,90,1,8,1,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,15,1,13,1,DISTRATO,1,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,455,1,0,1,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,486,1,5,1,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1955,0,11,1,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,122,1,0,1,REVISTORIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1028,0,20,1,REVISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,92,1,19,1,DESBLOQUEIOS,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,57,1,0,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,373,1,15,1,EMISSÃO APTVE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,165,0,10,1,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,39,1,20,1,LIBERAÇÃO DO PÁTIO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,160,163,1,5,1,PLACA CARRO,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,49,1,17,1,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1060,0,3,1,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,481,1,3,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,391,1,1,1,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,24,1,19,1,LICENCIAMENTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,407,1,19,1,REVISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,157,0,1,1,CONSULTA TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,366,1,0,1,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,58,1,16,1,REVISTORIA,1,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,37,1,1,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,71,1,16,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,84,1,2,1,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,161,1,1,1,DESBLOQUEIOS,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,140,474,2,8,1,INMETRO,0,1,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,430,1,17,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,69,1,0,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,67,1,13,1,CADASTRO DE MOTOR,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,375,1,6,1,TRANSFERÊNCIA,1,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,10,1,14,1,VISTORIA,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,7,1,22,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,133,1,1,1,EMISSÃO CRLV,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1410,0,19,1,PLACA CARRO,1,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,133,1,11,1,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,136,1,19,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,429,1,14,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,410,1,22,1,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,162,1,1,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,22,1,22,1,TRANSFERÊNCIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1782,0,4,1,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,159,1,10,1,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,33,1,0,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,43,1,7,1,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,443,1,18,1,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,375,1,8,1,PLACA CARRO,1,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,469,1,4,1,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,116,1,18,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,105,1,1,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,28,1,19,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,98,1,23,1,TRANSFERÊNCIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,48,1,6,1,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,171,1,21,1,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,115,1,22,1,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,431,1,17,1,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,113,1,14,1,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1884,0,18,1,DISTRATO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,549,1,21,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,42,1,5,1,TRANSFERÊNCIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,515,1,19,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,67,1,24,1,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,90,1,17,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,463,1,21,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,158,1,19,1,CADASTRO DE MOTOR,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,507,1,19,1,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,87,1,8,1,TRANSFERÊNCIA,1,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,53,1,16,1,CONSULTA TOTAL,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,379,1,20,1,VISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,638,0,21,1,CONSULTA TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,96,1,17,1,DESBLOQUEIOS,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,105,1,3,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,2098,0,12,1,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,434,1,10,1,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,384,1,15,1,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,59,1,10,1,CADASTRO DE MOTOR,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,61,1,5,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,180,69,2,2,1,LIBERAÇÃO DO PÁTIO,0,2,1,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,184,1,23,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,17,1,3,1,DECLARAÇÕES,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,435,1,14,1,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,53,1,14,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1759,0,22,1,VISTORIA,1,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1381,0,4,1,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,27,1,4,1,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,23,1,10,1,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,140,475,2,8,1,LIBERAÇÃO DO PÁTIO,0,1,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,444,1,14,1,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,455,1,2,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,426,1,21,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,9,1,19,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,66,1,10,1,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,522,1,23,1,CADASTRO DE MOTOR,0,0,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,86,1,14,1,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,305,0,5,1,INMETRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,119,1,0,1,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,176,1,21,1,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,62,1,20,1,DISTRATO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,24,1,24,1,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,104,1,11,1,INMETRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,256,0,20,1,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,160,131,1,19,1,EMISSÃO APTVE,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,13,1,24,1,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,63,1,7,1,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,229,0,8,1,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,244,0,11,1,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,106,1,22,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1370,0,19,1,EMISSÃO CRLV,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,461,1,7,1,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,238,1,20,1,CADASTRO DE MOTOR,1,0,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1841,0,14,1,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,131,1,17,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,13,1,6,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,494,1,21,1,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1130,0,12,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,370,1,12,1,PLACA CARRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,422,1,14,1,AUTORIZAÇÃO PRÉVIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,442,1,11,1,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,507,0,24,1,CONSULTA TOTAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,379,0,7,1,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,5,1,4,1,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,488,1,9,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,4,240,11,1,3,1,REVISTORIA,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,168,1,3,1,INMETRO,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,180,0,20,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,764,0,12,1,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,838,0,18,1,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,114,1,10,1,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,446,1,8,1,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,408,1,5,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,100,60,1,10,1,INMETRO,0,0,1,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1393,0,15,1,AUTORIZAÇÃO PRÉVIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,464,1,10,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,121,1,6,1,AUTORIZAÇÃO PRÉVIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1673,0,16,1,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,377,1,24,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,135,1,3,1,CADASTRO DE MOTOR,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,61,1,20,1,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,124,1,16,1,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,98,1,10,1,PLACA REBOQUE,1,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,23,1,22,1,VISTORIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,140,102,2,0,1,CONSULTA TOTAL,0,1,1,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,371,1,19,1,TRANSFERÊNCIA,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,530,1,0,1,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,405,1,3,1,EMISSÃO CRLV,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,377,1,4,1,DESBLOQUEIOS,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,6,1,9,1,PLACA CARRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,122,1,20,1,PLACA MOTO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,442,1,7,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,104,1,22,1,DISTRATO,0,2,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,25,1,9,1,TRANSFERÊNCIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,5,1,7,1,EMISSÃO APTVE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1232,0,21,1,DECLARAÇÕES,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,160,132,1,19,1,DESBLOQUEIOS,0,4,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,414,1,8,1,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,106,1,20,1,PLACA REBOQUE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,96,1,1,1,LICENCIAMENTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,17,1,16,1,REVISTORIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,61,1,16,1,EMISSÃO CRLV,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,89,1,12,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,3,120,21,1,9,1,DISTRATO,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,107,1,4,1,DISTRATO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,69,1,13,1,LICENCIAMENTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,63,1,15,1,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,454,0,14,1,EMISSÃO APTVE,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,30,1,0,1,REVISTORIA,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,82,1,22,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,462,1,19,1,INMETRO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,10,1,18,1,EMISSÃO APTVE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,76,1,7,1,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,61,1,3,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,10,1,17,1,LIBERAÇÃO DO PÁTIO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,68,1,20,1,CADASTRO DE MOTOR,0,3,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,2265,0,8,1,VISTORIA,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,101,1,14,1,LIBERAÇÃO DO PÁTIO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,59,1,9,1,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,23,1,4,1,TRANSFERÊNCIA,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,9,1,20,1,PLACA MOTO,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,567,0,8,1,CADASTRO DE MOTOR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,63,1,15,1,CONSULTA TOTAL,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,107,1,4,1,CADASTRO DE MOTOR,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,88,1,20,1,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1915,0,22,1,LIBERAÇÃO DO PÁTIO,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1373,0,21,1,PLACA CARRO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,2,80,117,1,16,1,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,3,180,402,1,6,1,EMISSÃO APTVE,0,3,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,454,1,5,1,INMETRO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,139,1,20,1,EMISSÃO APTVE,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,394,1,5,1,PLACA REBOQUE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1710,0,12,1,DESBLOQUEIOS,0,0,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,2,120,73,1,16,1,PLACA MOTO,0,2,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,82,1,18,1,AUTORIZAÇÃO DE ESTAMPAGEM,0,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,91,1,7,1,PLACA REBOQUE,1,1,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,135,1,14,1,DECLARAÇÕES,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,1,60,101,1,12,1,CADASTRO DE MOTOR,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1116,0,13,1,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,4,160,20,1,19,1,DISTRATO,0,4,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,0,0,1765,0,15,1,LICENCIAMENTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Parceiro,1,40,402,1,0,1,EMISSÃO APTVE,0,1,0,0,0,0,0,0,0,0,0,0,0
Cliente Final,5,300,10,1,23,1,CONSULTA TOTAL,0,5,0,0,0,0,0,0,0,0,0,0,0
Parceiro,0,0,1388,0,22,1,PLACA CARRO,0,0,0,0,0,0,0,0,0,0,0,0,0
