tipo_cliente,total_servicos_cliente,valor_total_gasto,dias_desde_ultimo_servico,servicos_unicos_utilizados,idade_veiculo,HIST_LICENCIAMENTO,HIST_TRANSFERENCIA,HIST_VISTORIA,HIST_REVISTORIA,HIST_EMISSAO_APTVE,HIST_EMISSAO_CRLV,HIST_PLACA_CARRO,HIST_PLACA_MOTO,HIST_PLACA_REBOQUE,HIST_DESBLOQUEIOS,HIST_CONSULTA_TOTAL,HIST_DECLARACOES,target_service
Parceiro,2,140.0,259,2,14,1,1,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,0,0.0,1468,0,22,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,2,80.0,64,1,21,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,1,60.0,110,1,17,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Cliente Final,1,60.0,467,1,15,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Cliente Final,4,240.0,30,1,19,4,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Parceiro,5,200.0,84,1,20,5,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Parceiro,1,40.0,119,1,14,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,70,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,1,60.0,81,1,20,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,2,80.0,84,1,16,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Parceiro,1,40.0,53,1,11,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,3,180.0,30,2,22,2,1,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,1,60.0,415,1,22,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,3,120.0,76,1,11,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,62,1,10,3,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Parceiro,2,80.0,384,1,8,2,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,2,120.0,58,1,9,2,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Cliente Final,2,120.0,24,1,10,2,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,1,60.0,82,1,14,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,0,0.0,1840,0,17,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,2,140.0,61,2,19,1,1,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Parceiro,2,140.0,484,2,8,1,1,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,4,240.0,95,1,10,4,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,3,180.0,415,1,8,3,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,1,60.0,488,1,4,1,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,0,0.0,1928,0,22,0,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,1,40.0,117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Cliente Final,1,60.0,445,1,18,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,2,120.0,103,1,10,2,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,1,60.0,461,1,9,1,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,498,1,12,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,1,100.0,193,1,10,0,1,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,2118,0,22,0,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,1,40.0,451,1,8,1,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,2,120.0,168,1,13,2,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,1,60.0,38,1,2,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,4,160.0,387,1,18,4,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,1,60.0,558,1,8,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Parceiro,1,40.0,106,1,20,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,2,120.0,429,1,18,2,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,499,1,20,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,4,240.0,27,1,14,4,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,1,60.0,68,1,15,1,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,0,0.0,738,0,3,0,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,3,180.0,151,1,9,3,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,3,180.0,79,1,19,3,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,3,180.0,38,1,6,3,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,1,40.0,36,1,11,1,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Cliente Final,2,120.0,57,1,13,2,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Parceiro,0,0.0,2208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Parceiro,2,80.0,96,1,21,2,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,3,180.0,118,1,4,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,0,0.0,374,0,9,0,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,2,120.0,23,1,0,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,3,120.0,47,1,19,3,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Parceiro,1,40.0,494,1,11,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,386,1,16,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,0,0.0,2089,0,8,0,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,2,120.0,395,1,7,2,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,1,60.0,137,1,15,1,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Cliente Final,1,60.0,425,1,21,1,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,417,1,15,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Parceiro,1,40.0,436,1,5,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,2,80.0,423,1,14,2,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,3,120.0,63,1,18,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,4,220.0,194,2,4,3,1,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,138,1,24,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Parceiro,1,40.0,191,1,23,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,46,1,21,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,1087,0,5,0,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,1,60.0,60,1,17,1,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Parceiro,2,140.0,484,2,10,1,1,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,2,140.0,68,2,22,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,2,120.0,31,1,0,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,2,80.0,428,1,24,2,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,2,120.0,46,1,10,2,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,0,0.0,2228,0,3,0,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Parceiro,3,120.0,51,1,20,3,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,1,40.0,480,1,18,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,34,1,0,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,2,80.0,451,1,9,2,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,1948,0,4,0,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Parceiro,3,120.0,27,1,20,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,0,0.0,1996,0,7,0,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,2,140.0,121,2,22,1,1,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,1,60.0,95,1,20,1,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,0,0.0,1162,0,4,0,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,0,0.0,1256,0,6,0,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Parceiro,2,140.0,7,2,16,1,1,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Parceiro,0,0.0,2054,0,13,0,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,0,0.0,1585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,3,180.0,76,1,0,3,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,2,120.0,87,1,20,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,0,0.0,1839,0,14,0,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,1,60.0,93,1,10,1,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Parceiro,1,40.0,493,1,5,1,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,2,120.0,129,1,4,2,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,0,0.0,815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,0,0.0,447,0,3,0,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,2,120.0,137,1,20,2,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,0,0.0,825,0,19,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,188,1,4,1,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,1,60.0,567,1,12,1,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Parceiro,0,0.0,928,0,4,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,3,180.0,113,1,11,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,0,0.0,2066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,817,0,20,0,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,1,60.0,68,1,14,1,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,2,140.0,452,2,6,1,1,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,142,1,17,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,164,1,3,3,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,2,120.0,55,1,6,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,0,0.0,2164,0,7,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,0,0.0,794,0,17,0,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,0,0.0,290,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,2,120.0,147,1,16,2,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,2,120.0,102,1,20,2,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,3,180.0,54,1,5,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,2,80.0,167,1,3,2,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Parceiro,2,80.0,35,1,4,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,0,0.0,593,0,8,0,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,0,0.0,526,0,10,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,2,120.0,83,1,0,2,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Cliente Final,2,120.0,457,1,2,2,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,2,120.0,182,1,9,2,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,3,180.0,114,1,14,3,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Parceiro,1,40.0,83,1,22,1,0,0,0,0,0,0,0,0,0,0,0,DESBLOQUEIOS
Cliente Final,3,180.0,94,1,18,3,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,2,120.0,141,1,5,2,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,0,0.0,1741,0,18,0,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Parceiro,1,40.0,515,1,7,1,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,1,60.0,438,1,5,1,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,2,120.0,101,1,3,2,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,0,0.0,601,0,8,0,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Cliente Final,0,0.0,1785,0,5,0,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Cliente Final,1,60.0,154,1,2,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,0,0.0,1652,0,23,0,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,2,120.0,85,1,5,2,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Parceiro,4,160.0,132,1,11,4,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,0,0.0,538,0,9,0,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Parceiro,0,0.0,914,0,7,0,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,0,0.0,1287,0,3,0,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,0,0.0,1134,0,5,0,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,2,120.0,442,1,20,2,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Cliente Final,3,180.0,124,1,0,3,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,104,1,17,1,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Cliente Final,1,60.0,194,1,14,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Cliente Final,3,180.0,173,1,17,3,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_APTVE
Cliente Final,1,60.0,493,1,21,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_CARRO
Parceiro,2,80.0,518,1,5,2,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,1,60.0,165,1,7,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,42,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,1,60.0,461,1,20,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,2,120.0,137,1,7,2,0,0,0,0,0,0,0,0,0,0,0,CONSULTA_TOTAL
Cliente Final,1,60.0,99,1,7,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Parceiro,1,40.0,140,1,6,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,2,120.0,120,1,2,2,0,0,0,0,0,0,0,0,0,0,0,LIBERACAO_DO_PATIO
Parceiro,3,120.0,226,1,9,3,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,3,240.0,223,2,20,1,2,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_DE_ESTAMPAGEM
Cliente Final,1,60.0,473,1,6,1,0,0,0,0,0,0,0,0,0,0,0,CADASTRO_DE_MOTOR
Parceiro,2,80.0,127,1,6,2,0,0,0,0,0,0,0,0,0,0,0,DECLARACOES
Cliente Final,2,120.0,146,1,6,2,0,0,0,0,0,0,0,0,0,0,0,AUTORIZACAO_PREVIA
Parceiro,1,40.0,471,1,15,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,2,160.0,110,2,3,1,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,2,120.0,138,1,18,2,0,0,0,0,0,0,0,0,0,0,0,INMETRO
Parceiro,0,0.0,2232,0,1,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,3,120.0,71,1,20,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,149,1,10,1,0,0,0,0,0,0,0,0,0,0,0,LICENCIAMENTO
Cliente Final,2,120.0,105,1,8,2,0,0,0,0,0,0,0,0,0,0,0,PLACA_REBOQUE
Cliente Final,1,60.0,150,1,8,1,0,0,0,0,0,0,0,0,0,0,0,DISTRATO
Parceiro,0,0.0,1999,0,2,0,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,1,40.0,49,1,11,1,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Parceiro,2,140.0,416,2,19,1,1,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,3,120.0,80,1,8,3,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
Cliente Final,3,180.0,94,1,10,3,0,0,0,0,0,0,0,0,0,0,0,EMISSAO_CRLV
Parceiro,1,40.0,418,1,23,1,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Cliente Final,1,60.0,83,1,10,1,0,0,0,0,0,0,0,0,0,0,0,REVISTORIA
Parceiro,1,40.0,73,1,19,1,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Parceiro,1,40.0,145,1,17,1,0,0,0,0,0,0,0,0,0,0,0,VISTORIA
Parceiro,5,200.0,79,1,24,5,0,0,0,0,0,0,0,0,0,0,0,PLACA_MOTO
Cliente Final,2,120.0,99,1,11,2,0,0,0,0,0,0,0,0,0,0,0,TRANSFERENCIA
